1,1,1,2,1,1,1,1,3,5,8,1,9,17,1,1
1,36,1,3,1,2,9,4,1,3,1,1,163,2,1,11
1,9,205,7,1,7,15,13,10,1,1,1,2,1,1,20
1,2,1,2,4,1,32,2,7,2,2,1,1,1,101,1
2,2,1,4,1,3,2,2,1,1,16,2,5,6,2,1
2,3,2,1,4,1,1,1,1,1,6,99,2,1,3,1
1,5,4,1,112,1,5,1,26,13,4,1,3,13,2,4
23,20,2,1,12,1,20,2,3,2,1,1,3,3,3,2
5,1,4,1,53,2,1,1,13,159,11,1,1,23,2,14
1,13,9,90,3,1,4,37,1,1,1,2,1,1,1,128
1,2,1,1,9,25,1,9,2,1,1,1,1,9,1,1
1,14,1,2,5,131,1,1,2,1,1,5,1,8,16,1
2,2,1,8,1,1,1,5,1,151,1,1,1,1,5,3
1,1,6,1,217,13,31,3,1,4,6,1,128,3,6,4
1,2,4,3,11,1,1,174,1,2,1,1,2,3,4,51
1,2,17,1,9,1,7,1,1,4,2,29,5,10,3,7
